col1,col2,col3,label
,0.04399999976158142,70.0,0
,,41.0,0
,,321.0,0
1.0,,2125.0,0
1.0,0.10100000351667404,0.0,0
,0.07900000363588333,258.0,0
,,74.0,0
,,74.0,0
1.0,,0.0,0
,,0.0,0
1.0,0.04600000008940697,83.0,0
,0.11800000071525574,35.0,0
0.0,,132.0,0
0.0,,69.0,0
1.0,0.07400000095367432,60.0,0
,0.012000000104308128,38.0,0
,0.012000000104308128,38.0,0
,,0.0,0
,0.012000000104308128,17.0,0
1.0,0.16200000047683716,259.0,0
,0.03200000151991844,5814.0,0
,0.05400000140070915,251.0,0
,0.16500000655651093,163.0,0
,0.08399999886751175,230.0,0
,0.10199999809265137,1406.0,0
,0.06199999898672104,18421.0,0
,0.10100000351667404,256.0,0
